Total reads: 77686
Fragment number: 49058
percentile	count
0	194
1	396
2	581
3	734
4	832
5	892
6	1002
7	1069
8	1105
9	1181
10	1242
11	1183
12	1154
13	1288
14	1353
15	1327
16	1235
17	1250
18	1297
19	1373
20	1405
21	1401
22	1412
23	1430
24	1406
25	1438
26	1485
27	1524
28	1512
29	1499
30	1528
31	1496
32	1466
33	1408
34	1392
35	1430
36	1394
37	1369
38	1373
39	1408
40	1487
41	1466
42	1455
43	1493
44	1461
45	1429
46	1461
47	1496
48	1449
49	1476
50	1466
51	1447
52	1440
53	1473
54	1503
55	1581
56	1606
57	1587
58	1605
59	1584
60	1609
61	1688
62	1685
63	1694
64	1665
65	1732
66	1750
67	1802
68	1891
69	1926
70	1939
71	1951
72	1927
73	1902
74	1933
75	1938
76	1990
77	1996
78	1988
79	2008
80	2022
81	2049
82	2036
83	2017
84	2016
85	2032
86	2004
87	2015
88	2020
89	2070
90	2118
91	2144
92	2161
93	2117
94	2084
95	2056
96	1916
97	1797
98	1488
99	963
100	285
