Total reads: 80603
Fragment number: 45981
percentile	count
0	172
1	322
2	489
3	620
4	693
5	723
6	766
7	838
8	861
9	939
10	1020
11	1028
12	988
13	1055
14	1122
15	1087
16	1031
17	1082
18	1111
19	1119
20	1184
21	1144
22	1167
23	1176
24	1145
25	1143
26	1129
27	1185
28	1192
29	1207
30	1225
31	1185
32	1213
33	1241
34	1268
35	1313
36	1240
37	1204
38	1190
39	1235
40	1269
41	1295
42	1328
43	1308
44	1229
45	1220
46	1252
47	1273
48	1272
49	1295
50	1283
51	1335
52	1335
53	1334
54	1377
55	1385
56	1434
57	1411
58	1407
59	1424
60	1420
61	1450
62	1458
63	1483
64	1511
65	1560
66	1583
67	1627
68	1669
69	1710
70	1777
71	1792
72	1812
73	1825
74	1802
75	1862
76	1857
77	1900
78	1880
79	1874
80	1867
81	1859
82	1869
83	1859
84	1851
85	1897
86	1883
87	1971
88	2030
89	1992
90	1971
91	2017
92	2030
93	1983
94	1995
95	1959
96	1896
97	1787
98	1461
99	980
100	288
